period,accounts,category,amount,month,running_total
17-04-2025,Upi,Food,161,2025-04,179696.14
16-04-2025,Upi,Food,72,2025-04,179535.14
16-04-2025,Upi,Food,15,2025-04,179535.14
16-04-2025,Upi,Apparel,-2500,2025-04,179535.14
16-04-2025,Upi,Transport,300,2025-04,179535.14
15-04-2025,Upi,Apparel,399,2025-04,181648.14
15-04-2025,Upi,Food,15,2025-04,181648.14
15-04-2025,Upi,Food,35,2025-04,181648.14
14-04-2025,Upi,Food,11,2025-04,181199.14
13-04-2025,Upi,Beauty,401,2025-04,181188.14
13-04-2025,Upi,Food,215,2025-04,181188.14
13-04-2025,Upi,Recharge,219,2025-04,181188.14
13-04-2025,Upi,Food,125,2025-04,181188.14
12-04-2025,Upi,Transport,100,2025-04,180228.14
11-04-2025,Upi,Food,21,2025-04,180128.14
11-04-2025,Upi,Food,20,2025-04,180128.14
10-04-2025,Upi,Food,230,2025-04,180087.14
10-04-2025,Upi,Food,45,2025-04,180087.14
10-04-2025,Upi,Recharge,448,2025-04,180087.14
09-04-2025,Upi,Food,120,2025-04,179364.14
08-04-2025,Upi,Food,45,2025-04,179244.14
08-04-2025,Upi,Food,30,2025-04,179244.14
07-04-2025,Upi,Food,20,2025-04,179169.14
06-04-2025,Upi,Transport,300,2025-04,179149.14
06-04-2025,Upi,Apparel,550,2025-04,179149.14
05-04-2025,Upi,Household,318,2025-04,178299.14
04-04-2025,Upi,Food,31,2025-04,177981.14
04-04-2025,Upi,Transport,300,2025-04,177981.14
04-04-2025,Upi,Food,190,2025-04,177981.14
03-04-2025,Upi,Food,209,2025-04,177460.14
02-04-2025,Upi,Food,31,2025-04,177251.14
02-04-2025,Upi,Food,50,2025-04,177251.14
02-04-2025,Upi,Food,230,2025-04,177251.14
02-04-2025,Upi,Food,220,2025-04,177251.14
01-04-2025,Upi,Apparel,600,2025-04,176720.14
01-04-2025,Upi,Food,11,2025-04,176720.14
01-04-2025,Upi,Food,760,2025-04,176720.14
01-04-2025,Upi,Rent,11686,2025-04,176720.14
30-03-2025,Upi,Food,280,2025-03,163663.14
29-03-2025,Upi,Other,360,2025-03,163383.14
28-03-2025,Upi,Transport,295,2025-03,163023.14
27-03-2025,Upi,Food,35,2025-03,162728.14
26-03-2025,Upi,Food,20,2025-03,162693.14
25-03-2025,Upi,Food,645,2025-03,162673.14
24-03-2025,Upi,Food,33,2025-03,162028.14
23-03-2025,Upi,Transport,374,2025-03,161995.14
21-03-2025,Upi,Food,20,2025-03,161621.14
